Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-08-10,Stans,2025,https://boxd.it/aFIUqV,5,,stan4ever,helene,2025-08-09
2025-09-05,Nobody 2,2025,https://boxd.it/aYaya5,3.5,,"Enquanto eu amo o Bob Odenkirk e as cenas de luta são extremamente bem filmadas, eu não suporto esses slow motions exagerados",,2025-09-04
2025-09-12,Absolute Power,1997,https://boxd.it/b2FORd,3.5,,"Para além do thriller, <i>Absolute Power</i> é uma história humana sobre a relação entre pai e filha, simbolizada de forma belíssima pelo uso da luz e da sombra. Quando Luther tá sozinho, imerso em seu mundo de crime e isolamento, ele é frequentemente filmado nas sombras, como uma figura fantasmagórica. No entanto, nas cenas com Kate, ele emerge para a luz. Assim, o tema da redenção, recorrente na filmografia de Clint, se faz presente mais uma vez, inserido em uma narrativa que também opera como uma metáfora eficaz para a corrupção do sonho americano.",,2025-09-11
2025-09-13,Pale Rider,1985,https://boxd.it/b3i8Ir,3,,"O domínio de Clint Eastwood no uso de luz e sombra é uma de suas características mais evidentes nesse filme também. As montanhas são lindas, os momentos de suspense funcionam e o clímax também.
Ainda assim, o roteiro me incomodou um pouco. Por que o Padre ajuda aquelas pessoas? Pura bondade? É difícil criar uma conexão quando o personagem principal não estabelece nenhuma relação genuína com ninguém. A dinâmica com a garota de 15 anos, que se joga para ele (e quase é estuprada), e com a mãe dela, que também o ama, é completamente desnecessária. Também acho que nenhum outro personagem além do Clint se destaca – talvez com exceção do LaHood",,2025-09-12
2025-09-16,Heat,1995,https://boxd.it/b5nQrd,5,,"Enquanto o personagem de De Niro planeja, o de Al Pacino o persegue, em um jogo onde um constrói a equipe perfeita apenas para que o outro a desfaça. Ambos são profissionais metódicos, cujas vidas se resumem ao ofício, sendo a vida pessoal o preço que pagam. Mas eles não são apenas inimigos, são o reflexo um do outro em lados opostos da lei, partilhando a mesma dedicação, o mesmo código e a mesma solidão que afasta quem eles amam. Um tem uma regra de 30 segundos para largar tudo, enquanto o outro já largou a própria vida sem perceber. Isso fica evidente quando se sentam em um café, frente a frente, e ali são apenas homens. A conversa não é um interrogatório, mas um reconhecimento, um espelho que revela o mesmo vazio. Eles sabem que precisam destruir um ao outro e, ao mesmo tempo, que se entendem como ninguém mais, fazendo da perseguição o que os une e o que os levará ao fim. É nesse complexo espelhamento que a química entre os dois atores se intensifica ainda mais.",,2025-09-15
2025-09-29,Chuck Billy and The Marvelous Guava Tree,2024,https://boxd.it/bcyX9v,4,,GOIABEURA,helene,2025-09-27
2025-11-07,The Untouchables,1987,https://boxd.it/bCuQeT,4.5,,Never stop fighting 'till the fight's done.,,2025-11-06
2025-11-14,The Fantastic 4: First Steps,2025,https://boxd.it/bHE0Ol,1.5,,"É bizarro como nada nesse filme tem tempo para respirar. As cenas simplesmente acontecem, uma atrás da outra, sem peso
",,2025-11-13
2025-12-10,The Fire Within: A Requiem for Katia and Maurice Krafft,2022,https://boxd.it/bZWyHr,5,,"Quando Herzog se cala e deixa a música guiar, é como se ele dissesse: não há palavras para isso, apenas olhe.",,2025-12-10
2025-12-12,A Tale of Winter,1992,https://boxd.it/c19myR,5,,"O que não tá presente ocupa a tela o tempo todo. A espera de Félicie é tão forte que o ausente parece caminhar com ela. Charles parece estar fisicamente em cena. 
Ela oscila entre a dúvida e a devoção. Mas sua indecisão com os outros pretendentes serve apenas para provar que o amor é uma escolha absoluta.",,2025-12-12
2025-12-26,Home Alone,1990,https://boxd.it/cezYhX,4.5,Yes,"Joe Pesci, eu te amo",helene,2025-12-25
2025-12-29,The Mule,2018,https://boxd.it/chSwij,4.5,,Mesmo velho idoso ancião coroa caduco jurássico ele ainda é o Clint Eastwood.,,2025-12-28
2026-01-06,"Sorry, Baby",2025,https://boxd.it/ctNVzn,5,,"A vida anda após algo ruim, e a narrativa entende esse ritmo. O trauma existe, mas o cotidiano continua. É essa facilidade em alternar o peso da tragédia com o andar da vida que torna a experiência tão fluida.",,2026-01-05
2026-01-07,Come and See,1985,https://boxd.it/cuT44n,5,,Nunca mais vou ser o mesmo depois desse filme. Inesquecível. Me sinto vazio.,,2026-01-06
2026-01-10,Umberto D.,1952,https://boxd.it/cyktjD,5,,"<a href=""https://www.youtube.com/watch?v=_CkOxSR6l20"">Miséria.</a>",helene,2026-01-09
2026-01-22,Deep End,1970,https://boxd.it/cLruVf,5,,"Verde → vermelho
Ingenuidade → obsessão",helene,2026-01-22
